filename,start,end,label
de_02_12_09_59.wav,1.654962,1.912032,K+
de_02_12_09_59.wav,4.828777,4.928459,W
de_02_12_09_59.wav,5.775566,5.853994,H
de_02_12_09_59.wav,7.177471,7.262435,H
de_02_12_09_59.wav,7.423096,7.490542,H
de_02_12_09_59.wav,12.007932,12.109106,W
de_02_12_09_59.wav,14.981009,15.191534,K+
de_02_12_09_59.wav,18.658989,18.910462,K+
de_02_12_09_59.wav,23.344546,23.684401,K+
de_02_12_09_59.wav,28.510164,28.853287,K+
de_02_12_09_59.wav,32.354715,32.609607,K+
de_02_12_09_59.wav,37.740881,38.067665,K+
de_02_12_09_59.wav,42.862351,43.176064,K+
de_02_12_09_59.wav,47.355594,47.688914,K+
de_02_12_09_59.wav,52.476248,52.786694,K+
de_02_12_09_59.wav,57.084270,57.367103,K+
de_4_15_09_26.wav,0.044271,0.330093,K+
de_4_15_09_26.wav,0.606628,0.804743,K
de_4_15_09_26.wav,1.147952,1.453379,K+
de_4_15_09_26.wav,1.758027,1.978842,K
de_4_15_09_26.wav,2.420853,2.615872,W
de_4_15_09_26.wav,3.104317,3.296241,W
de_4_15_09_26.wav,3.605918,3.952619,K+
de_4_15_09_26.wav,4.759517,5.119632,K+
de_4_15_09_26.wav,5.369842,5.571053,W
de_4_15_09_26.wav,6.104639,6.409034,K+
de_4_15_09_26.wav,6.876324,7.013560,H
de_4_15_09_26.wav,7.477627,7.655105,W
de_4_15_09_26.wav,8.087830,8.276658,W
de_4_15_09_26.wav,8.724086,8.918073,W
de_4_15_09_26.wav,9.318941,9.520151,W
de_4_15_09_26.wav,9.951714,10.154988,K
de_4_15_09_26.wav,10.659295,10.909002,W+
de_4_15_09_26.wav,11.299808,11.535070,W
de_4_15_09_26.wav,12.054727,12.365313,W+
de_4_15_09_26.wav,12.844986,13.029686,W
de_4_15_09_26.wav,13.465245,13.804723,W+
de_4_15_09_26.wav,14.192563,14.369009,W
de_4_15_09_26.wav,14.945812,15.057251,H
de_4_23_11_46_cdsb.wav,0.541352,0.622431,H
de_4_23_11_46_cdsb.wav,1.481367,1.567514,H
de_4_23_11_46_cdsb.wav,2.598743,2.689958,H
de_4_23_11_46_cdsb.wav,3.252447,3.328459,H
de_4_23_11_46_cdsb.wav,3.523556,3.597034,H
de_4_23_11_46_cdsb.wav,8.425237,8.709278,W+
de_4_23_11_46_cdsb.wav,11.310370,11.642612,W+
de_4_23_11_46_cdsb.wav,14.982428,15.328442,W+
de_4_23_11_46_cdsb.wav,16.325372,16.404559,H
de_4_23_11_46_cdsb.wav,17.628499,17.766216,W
de_4_23_11_46_cdsb.wav,20.607238,20.927429,W+
de_4_23_11_46_cdsb.wav,23.163789,23.249862,H
de_4_23_11_46_cdsb.wav,23.807615,23.876473,H
